[2026-01-10 22:28:09] Added expense: £1800.00 | Rent | Rent - first month
[2026-01-10 22:28:30] Added expense: £91.00 | Council tax | council tax - first month
[2026-01-10 22:28:54] Added expense: £28.00 | Wifi | wiif - first month
[2026-01-10 22:29:12] Added expense: £10.00 | SIM card | sim card - first month
[2026-01-10 22:29:49] Added expense: £134.00 | Groceries | groceries - 03/01 to 10/01 (inclusive)
[2026-01-10 22:30:07] Added expense: £32.00 | Food out | food outside - 03/01 to 10/01
[2026-01-10 22:30:49] Added expense: £349.00 | House | House costs to set up the house - 03/01 to 10/01
[2026-01-10 22:31:18] Added expense: £237.00 | Flights | flight to London (one-way)
[2026-01-11 15:53:58] Added expense: £17.50 | Discretionary | dumbells and yoga matt
[2026-01-11 15:54:19] Added expense: £6.00 | House | cutlery
[2026-01-12 19:43:09] Added expense: £7.00 | House | bathtub mat
[2026-01-14 22:07:07] Added expense: £13.75 | Food out | five guys
[2026-01-17 20:51:56] Added expense: £10.25 | Food out | Gails
[2026-01-17 20:52:09] Added expense: £31.20 | Groceries | M&S
[2026-01-17 20:54:20] Added expense: £7.75 | Groceries | Sainsbury's
[2026-01-18 10:50:56] Added expense: £16.00 | Food out | sushi with Titas
[2026-01-21 20:27:58] Added expense: £7.20 | Food out | Gails
[2026-01-21 20:28:20] Added expense: £18.00 | Food out | Burgers with Cambridge people
[2026-01-21 20:28:35] Added expense: £5.60 | Commuting | tube to see Cambridge people
[2026-01-21 20:28:45] Added expense: £7.40 | Groceries | Sainsbury's
[2026-01-23 18:10:44] Added expense: £9.75 | Food out | wasabi
[2026-01-24 19:01:48] Added expense: £18.50 | Food out | pophams
[2026-01-24 20:18:34] Added expense: £9.50 | Food out | kebab
[2026-01-24 20:18:44] Added expense: £7.70 | Groceries | tesco
[2026-01-25 11:09:05] Added expense: £31.00 | House | Argos - laundry stuff
[2026-01-25 15:38:52] Added expense: £3.90 | Food out | tea with Mollie and Sog
[2026-01-26 20:41:15] Added expense: £20.00 | Food out | Pizza pilgrims
[2026-01-26 20:41:54] Added expense: £4.00 | House | argos - shower curtain
[2026-01-27 20:13:30] Added expense: £12.90 | Groceries | Sainsbury's
[2026-01-28 23:01:15] Added expense: £4.00 | Groceries | sainsburys
[2026-01-28 23:01:26] Added expense: £56.00 | Discretionary | harrods afternoon tea
[2026-01-29 20:36:43] Added expense: £20.00 | Food out | Bao
[2026-02-01 12:29:48] Added expense: £30.00 | Groceries | m&s
[2026-02-01 12:30:05] Added expense: £11.00 | Food out | tea with Ali and Mollie
[2026-02-01 12:30:39] Added expense: £6.00 | Commuting | tube to regents park
[2026-02-01 12:30:46] Added expense: £10.00 | Food out | gails
[2026-02-01 12:47:59] Added expense: £123.00 | Discretionary | ralph lauren sweater
[2026-02-01 12:48:33] Added expense: £369.00 | Discretionary | katie's flight
[2026-02-01 18:07:39] Added expense: £20.00 | Food out | pizza pilgrims
[2026-02-02 22:03:46] Added expense: £8.50 | Groceries | sainsburys
[2026-02-02 22:04:15] Added expense: £1800.00 | Rent | rent
[2026-02-02 22:04:31] Added expense: £62.00 | Electricity + gas | octopus energy - january
[2026-02-02 22:12:14] Added expense: £10.00 | Discretionary | jane street jumper
[2026-02-08 13:44:15] Added expense: £10.00 | SIM card | giff gaff sim card
[2026-02-08 13:44:24] Added expense: £10.00 | Groceries | sainsburys
[2026-02-08 13:44:40] Added expense: £6.00 | Commuting | tube to jane street dinner
[2026-02-08 13:44:58] Added expense: £5.00 | Food out | chai latte at a cafe
[2026-02-08 13:45:12] Added expense: £10.00 | Food out | gails
[2026-02-08 13:45:36] Added expense: £5.00 | Food out | coffee at potter and reid
[2026-02-08 13:45:43] Added expense: £4.00 | Groceries | sainsburys
[2026-02-08 13:45:52] Added expense: £24.00 | Food out | food with vani
[2026-02-08 13:48:39] Added expense: £12.00 | Food out | five guys dinner
[2026-02-08 20:25:34] Added expense: £31.00 | Groceries | m&s
[2026-02-09 22:48:28] Added expense: £7.00 | Discretionary | slippers
[2026-02-10 19:18:07] Added expense: £10.00 | Groceries | m&s
[2026-02-10 19:18:36] Added expense: £92.00 | Discretionary | m&s: extra towels and duvet for guests
[2026-02-10 19:22:16] Added expense: £98.00 | Council tax | council tax - February
[2026-02-16 23:38:42] Added expense: £3.00 | Groceries | toilet paper at sainsburys
[2026-02-16 23:38:59] Added expense: £22.00 | Groceries | m&s food for dinner with Katie
[2026-02-16 23:39:14] Added expense: £17.00 | Food out | gails with Katie
[2026-02-16 23:39:29] Added expense: £28.00 | Food out | harrods afternoon tea
[2026-02-16 23:39:49] Added expense: £15.00 | Food out | drink for Katie at the Alchemist
[2026-02-16 23:40:17] Added expense: £17.00 | Food out | pub in hampstead
[2026-02-16 23:40:30] Added expense: £14.00 | Discretionary | laderach for Katie
[2026-02-16 23:40:39] Added expense: £8.50 | Commuting | tube
[2026-02-16 23:40:50] Added expense: £17.00 | Food out | toasties in angel
[2026-02-16 23:41:13] Added expense: £18.00 | Food out | noodles when out with cambridge people
[2026-02-16 23:41:23] Added expense: £8.00 | Groceries | m&s snacks
[2026-02-16 23:41:37] Added expense: £8.50 | Commuting | tube
[2026-02-16 23:41:45] Added expense: £9.00 | Commuting | tube
[2026-02-16 23:42:06] Added expense: £8.00 | Food out | gails
[2026-02-16 23:42:18] Added expense: £52.00 | Food out | breakfast with katie
[2026-02-17 22:15:31] Added expense: £9.00 | Groceries | sainsburys
[2026-02-19 19:25:17] Added expense: £20.00 | Food out | pizza pilgrims dinner
[2026-02-21 08:29:24] Added expense: £26.00 | Food out | byron chicken sandwhich
[2026-02-21 10:33:36] Added expense: £30.00 | Commuting | railcard
[2026-02-21 16:01:15] Added expense: £11.00 | Food out | food market in shoreditch
[2026-02-25 21:48:29] Added expense: £30.00 | Commuting | railcard
[2026-02-25 21:48:40] Added expense: £7.00 | Food out | gails
[2026-02-25 21:48:56] Added expense: £5.00 | Food out | coffee with sog
[2026-02-25 21:49:13] Added expense: £10.00 | Groceries | sainsburys
[2026-02-25 21:49:25] Added expense: £17.00 | Food out | itsu
[2026-02-25 21:49:37] Added expense: £10.00 | Food out | itsu
[2026-02-25 21:50:49] Added expense: £6.00 | Groceries | sainsburys
[2026-02-25 21:50:56] Added expense: £3.00 | Food out | pret tea
[2026-02-28 13:04:02] Added expense: £18.00 | Food out | m&s
[2026-02-28 13:06:24] Added expense: £3.00 | Groceries | sainsburys
[2026-02-28 13:06:48] Added expense: £45.00 | Flights | ryanair to warsaw
[2026-02-28 13:06:58] Added expense: £4.50 | Food out | gails
[2026-02-28 13:07:27] Added expense: £28.00 | Wifi | plusnet wifi
[2026-03-01 23:50:00] Added expense: £12.00 | Food out | gails
[2026-03-01 23:50:18] Added expense: £18.00 | Food out | deliveroo pizza
[2026-03-08 20:13:42] Added expense: £69.00 | Electricity + gas | octopus energy feb
[2026-03-08 20:13:59] Added expense: £1800.00 | Rent | rent march
[2026-03-08 20:14:17] Added expense: £45.00 | Flights | flight to warsaw
[2026-03-08 20:14:31] Added expense: £20.00 | Food out | deliveroo
[2026-03-08 20:14:40] Added expense: £10.00 | SIM card | giff gaff
[2026-03-08 20:14:53] Added expense: £18.00 | Food out | pizza pilgrims
[2026-03-08 20:15:05] Added expense: £8.00 | Food out | pizza pilgrims
[2026-03-08 20:15:15] Added expense: £34.00 | Groceries | m&s
[2026-03-08 20:15:28] Added expense: £4.00 | Food out | coffee
[2026-03-08 20:15:41] Added expense: £9.00 | Food out | toastie with olga
[2026-03-08 20:15:59] Added expense: £24.00 | Food out | brunch with cambridge people
[2026-03-08 20:16:12] Added expense: £5.00 | Food out | gails
[2026-03-08 20:16:24] Added expense: £8.00 | Commuting | tube
[2026-03-08 20:16:38] Added expense: £12.00 | Food out | coffee with tosia and chris
[2026-03-08 20:16:48] Added expense: £32.00 | Commuting | train to stanstead
[2026-03-18 23:37:21] Added expense: £16.00 | Food out | ye ye dumplings
[2026-03-18 23:42:16] Added expense: £6.50 | Commuting | tube
[2026-03-18 23:43:46] Added expense: £15.50 | Food out | airport meal at stanstead
[2026-03-18 23:46:03] Added expense: £15.50 | Commuting | oyster card
[2026-03-18 23:46:14] Added expense: £4.50 | Groceries | m&s
[2026-03-18 23:46:24] Added expense: £19.00 | Groceries | m&s
[2026-03-18 23:50:51] Added expense: £98.00 | Council tax | council tax
[2026-03-18 23:56:00] Added expense: £51.00 | Discretionary | spending in Poland
[2026-03-22 20:57:15] Added expense: £41.00 | Groceries | m&s
[2026-03-22 20:57:33] Added expense: £14.00 | Food out | daves chicken
[2026-03-22 20:57:57] Added expense: £3.00 | Commuting | tube
[2026-03-22 20:58:22] Added expense: £10.00 | Food out | gails
[2026-03-26 20:34:46] Added expense: £6.00 | Discretionary | glasses
[2026-03-26 20:35:11] Added expense: £28.00 | Wifi | wifi
[2026-03-26 20:36:26] Added expense: £10.00 | Traveling | paying tomek back
