[2026-01-10 22:28:09] Added expense: £1800.00 | Rent | Rent - first month
[2026-01-10 22:28:30] Added expense: £91.00 | Council tax | council tax - first month
[2026-01-10 22:28:54] Added expense: £28.00 | Wifi | wiif - first month
[2026-01-10 22:29:12] Added expense: £10.00 | SIM card | sim card - first month
[2026-01-10 22:29:49] Added expense: £134.00 | Groceries | groceries - 03/01 to 10/01 (inclusive)
[2026-01-10 22:30:07] Added expense: £32.00 | Food out | food outside - 03/01 to 10/01
[2026-01-10 22:30:49] Added expense: £349.00 | House | House costs to set up the house - 03/01 to 10/01
[2026-01-10 22:31:18] Added expense: £237.00 | Flights | flight to London (one-way)
[2026-01-11 15:53:58] Added expense: £17.50 | Discretionary | dumbells and yoga matt
[2026-01-11 15:54:19] Added expense: £6.00 | House | cutlery
[2026-01-12 19:43:09] Added expense: £7.00 | House | bathtub mat
[2026-01-14 22:07:07] Added expense: £13.75 | Food out | five guys
[2026-01-17 20:51:56] Added expense: £10.25 | Food out | Gails
[2026-01-17 20:52:09] Added expense: £31.20 | Groceries | M&S
[2026-01-17 20:54:20] Added expense: £7.75 | Groceries | Sainsbury's
[2026-01-18 10:50:56] Added expense: £16.00 | Food out | sushi with Titas
[2026-01-21 20:27:58] Added expense: £7.20 | Food out | Gails
[2026-01-21 20:28:20] Added expense: £18.00 | Food out | Burgers with Cambridge people
[2026-01-21 20:28:35] Added expense: £5.60 | Commuting | tube to see Cambridge people
[2026-01-21 20:28:45] Added expense: £7.40 | Groceries | Sainsbury's
[2026-01-23 18:10:44] Added expense: £9.75 | Food out | wasabi
[2026-01-24 19:01:48] Added expense: £18.50 | Food out | pophams
[2026-01-24 20:18:34] Added expense: £9.50 | Food out | kebab
[2026-01-24 20:18:44] Added expense: £7.70 | Groceries | tesco
[2026-01-25 11:09:05] Added expense: £31.00 | House | Argos - laundry stuff
[2026-01-25 15:38:52] Added expense: £3.90 | Food out | tea with Mollie and Sog
[2026-01-26 20:41:15] Added expense: £20.00 | Food out | Pizza pilgrims
[2026-01-26 20:41:54] Added expense: £4.00 | House | argos - shower curtain
[2026-01-27 20:13:30] Added expense: £12.90 | Groceries | Sainsbury's
[2026-01-28 23:01:15] Added expense: £4.00 | Groceries | sainsburys
[2026-01-28 23:01:26] Added expense: £56.00 | Discretionary | harrods afternoon tea
[2026-01-29 20:36:43] Added expense: £20.00 | Food out | Bao
[2026-02-01 12:29:48] Added expense: £30.00 | Groceries | m&s
[2026-02-01 12:30:05] Added expense: £11.00 | Food out | tea with Ali and Mollie
[2026-02-01 12:30:39] Added expense: £6.00 | Commuting | tube to regents park
[2026-02-01 12:30:46] Added expense: £10.00 | Food out | gails
[2026-02-01 12:47:59] Added expense: £123.00 | Discretionary | ralph lauren sweater
[2026-02-01 12:48:33] Added expense: £369.00 | Discretionary | katie's flight
[2026-02-01 18:07:39] Added expense: £20.00 | Food out | pizza pilgrims
[2026-02-02 22:03:46] Added expense: £8.50 | Groceries | sainsburys
[2026-02-02 22:04:15] Added expense: £1800.00 | Rent | rent
[2026-02-02 22:04:31] Added expense: £82.00 | Electricity + gas | octopus energy - january
[2026-02-02 22:12:14] Added expense: £10.00 | Discretionary | jane street jumper
